<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.03.03 11:00:00 0.67848 0.67855 0.67683 0.67684 1374 0 3
2022.03.03 11:30:00 0.67680 0.67796 0.67674 0.67755 933 0 3
2022.03.03 12:00:00 0.67753 0.67829 0.67745 0.67782 654 0 5
2022.03.03 12:30:00 0.67782 0.67825 0.67762 0.67785 687 0 5
2022.03.03 13:00:00 0.67785 0.67810 0.67769 0.67780 841 0 5
2022.03.03 13:30:00 0.67780 0.67793 0.67703 0.67756 755 0 3
2022.03.03 14:00:00 0.67756 0.67857 0.67749 0.67853 909 0 3
2022.03.03 14:30:00 0.67854 0.67878 0.67799 0.67807 900 0 4
2022.03.03 15:00:00 0.67807 0.67849 0.67798 0.67826 1091 0 2
2022.03.03 15:30:00 0.67827 0.67886 0.67786 0.67877 1483 0 1
2022.03.03 16:00:00 0.67874 0.67980 0.67859 0.67939 1722 0 2
2022.03.03 16:30:00 0.67941 0.68048 0.67918 0.68006 2031 0 2
2022.03.03 17:00:00 0.68007 0.68093 0.67967 0.67982 2023 0 2
2022.03.03 17:30:00 0.67981 0.68001 0.67869 0.67878 1815 0 1
2022.03.03 18:00:00 0.67873 0.67898 0.67738 0.67847 2072 0 1
2022.03.03 18:30:00 0.67847 0.67912 0.67825 0.67851 1651 0 5
2022.03.03 19:00:00 0.67852 0.67920 0.67773 0.67778 1419 0 5
2022.03.03 19:30:00 0.67782 0.67955 0.67777 0.67907 2668 0 1
2022.03.03 20:00:00 0.67876 0.68006 0.67832 0.67990 1483 0 1
2022.03.03 20:30:00 0.67989 0.68027 0.67957 0.68013 1193 0 4
2022.03.03 21:00:00 0.68013 0.68027 0.67964 0.67980 1013 0 5
2022.03.03 21:30:00 0.67980 0.68006 0.67890 0.68006 1252 0 1
2022.03.03 22:00:00 0.68007 0.68012 0.67942 0.67979 1342 0 5
2022.03.03 22:30:00 0.67976 0.67997 0.67949 0.67975 1169 0 6
2022.03.03 23:00:00 0.67975 0.67989 0.67963 0.67982 503 0 7
2022.03.03 23:30:00 0.67981 0.68004 0.67974 0.67991 202 0 13
2022.03.04 00:00:00 0.67967 0.67980 0.67795 0.67961 887 0 44
2022.03.04 00:30:00 0.67957 0.67975 0.67930 0.67939 462 0 40
2022.03.04 01:00:00 0.67938 0.68025 0.67925 0.68025 322 0 18
2022.03.04 01:30:00 0.68025 0.68089 0.68025 0.68081 400 0 13
2022.03.04 02:00:00 0.68081 0.68087 0.67784 0.67834 1802 0 7
2022.03.04 02:30:00 0.67835 0.67878 0.67673 0.67721 2332 0 5
2022.03.04 03:00:00 0.67720 0.67901 0.67678 0.67872 2908 0 6
2022.03.04 03:30:00 0.67875 0.68034 0.67871 0.67980 2162 0 6
2022.03.04 04:00:00 0.67980 0.68045 0.67940 0.67994 1620 0 7
2022.03.04 04:30:00 0.67994 0.68047 0.67976 0.67993 1314 0 6
2022.03.04 05:00:00 0.67992 0.68040 0.67986 0.68029 1075 0 6
2022.03.04 05:30:00 0.68029 0.68058 0.68019 0.68048 1121 0 7
2022.03.04 06:00:00 0.68048 0.68141 0.68028 0.68136 881 0 5
2022.03.04 06:30:00 0.68138 0.68212 0.68117 0.68208 947 0 5
2022.03.04 07:00:00 0.68208 0.68248 0.68188 0.68191 786 0 3
2022.03.04 07:30:00 0.68188 0.68206 0.68141 0.68184 617 0 4
2022.03.04 08:00:00 0.68184 0.68214 0.68166 0.68202 778 0 6
2022.03.04 08:30:00 0.68200 0.68200 0.68119 0.68144 830 0 4
2022.03.04 09:00:00 0.68145 0.68210 0.68145 0.68201 1587 0 5
2022.03.04 09:30:00 0.68200 0.68231 0.68157 0.68225 1358 0 5
2022.03.04 10:00:00 0.68228 0.68378 0.68219 0.68365 1881 0 3
2022.03.04 10:30:00 0.68366 0.68385 0.68324 0.68380 1428 0 4
2022.03.04 11:00:00 0.68380 0.68401 0.68318 0.68335 1222 0 4
2022.03.04 11:30:00 0.68335 0.68391 0.68278 0.68286 1212 0 2
2022.03.04 12:00:00 0.68286 0.68423 0.68282 0.68409 1186 0 4
2022.03.04 12:30:00 0.68409 0.68435 0.68386 0.68400 1124 0 4
2022.03.04 13:00:00 0.68399 0.68424 0.68340 0.68342 1527 0 1
2022.03.04 13:30:00 0.68341 0.68370 0.68311 0.68352 1228 0 4
2022.03.04 14:00:00 0.68351 0.68386 0.68331 0.68351 1101 0 5
2022.03.04 14:30:00 0.68351 0.68362 0.68204 0.68221 1118 0 4
2022.03.04 15:00:00 0.68221 0.68323 0.68221 0.68323 1350 0 3
2022.03.04 15:30:00 0.68323 0.68405 0.68093 0.68219 2790 0 3
2022.03.04 16:00:00 0.68219 0.68273 0.68118 0.68158 1518 0 3
2022.03.04 16:30:00 0.68162 0.68272 0.68095 0.68268 2498 0 3
2022.03.04 17:00:00 0.68267 0.68333 0.68211 0.68330 2323 0 4
2022.03.04 17:30:00 0.68330 0.68391 0.68261 0.68361 2078 0 1
2022.03.04 18:00:00 0.68362 0.68385 0.68291 0.68371 1444 0 4
2022.03.04 18:30:00 0.68371 0.68484 0.68340 0.68478 1890 0 2
2022.03.04 19:00:00 0.68479 0.68588 0.68440 0.68560 1646 0 3
2022.03.04 19:30:00 0.68560 0.68615 0.68552 0.68604 1509 0 1
2022.03.04 20:00:00 0.68602 0.68715 0.68600 0.68662 990 0 3
2022.03.04 20:30:00 0.68662 0.68696 0.68646 0.68651 1085 0 5
2022.03.04 21:00:00 0.68655 0.68662 0.68565 0.68626 1307 0 5
2022.03.04 21:30:00 0.68626 0.68717 0.68618 0.68670 1061 0 3
2022.03.04 22:00:00 0.68669 0.68669 0.68528 0.68592 1653 0 1
2022.03.04 22:30:00 0.68590 0.68678 0.68587 0.68669 1275 0 1
2022.03.04 23:00:00 0.68669 0.68675 0.68631 0.68652 607 0 8
2022.03.04 23:30:00 0.68651 0.68651 0.68584 0.68604 270 0 13
2022.03.07 00:00:00 0.68433 0.68529 0.68412 0.68505 149 0 37
2022.03.07 00:30:00 0.68507 0.68535 0.68491 0.68516 143 0 23
2022.03.07 01:00:00 0.68516 0.68747 0.68344 0.68738 850 0 20
2022.03.07 01:30:00 0.68739 0.68787 0.68636 0.68726 603 0 13
2022.03.07 02:00:00 0.68726 0.68880 0.68694 0.68873 1653 0 5
2022.03.07 02:30:00 0.68873 0.68950 0.68840 0.68845 1337 0 2
2022.03.07 03:00:00 0.68840 0.68990 0.68840 0.68974 2209 0 6
2022.03.07 03:30:00 0.68974 0.69251 0.68968 0.69192 2258 0 6
2022.03.07 04:00:00 0.69192 0.69194 0.69076 0.69076 1435 0 7
2022.03.07 04:30:00 0.69076 0.69084 0.68903 0.68950 1245 0 6
2022.03.07 05:00:00 0.68950 0.69007 0.68875 0.68896 1610 0 7
2022.03.07 05:30:00 0.68896 0.68921 0.68800 0.68911 1430 0 6
2022.03.07 06:00:00 0.68911 0.68971 0.68892 0.68950 792 0 8
2022.03.07 06:30:00 0.68950 0.69022 0.68934 0.69019 715 0 8
