<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.02.18 16:30:00 0.72043 0.72056 0.71924 0.72040 3405 0 1
2022.02.18 17:00:00 0.72042 0.72050 0.71931 0.71956 2821 0 1
2022.02.18 17:30:00 0.71956 0.71962 0.71762 0.71770 3231 0 1
2022.02.18 18:00:00 0.71769 0.71803 0.71659 0.71772 3436 0 1
2022.02.18 18:30:00 0.71772 0.71775 0.71711 0.71733 1733 0 1
2022.02.18 19:00:00 0.71733 0.71791 0.71708 0.71726 1831 0 1
2022.02.18 19:30:00 0.71725 0.71741 0.71647 0.71683 2501 0 1
2022.02.18 20:00:00 0.71683 0.71761 0.71680 0.71753 1239 0 1
2022.02.18 20:30:00 0.71753 0.71817 0.71747 0.71798 780 0 1
2022.02.18 21:00:00 0.71798 0.71867 0.71778 0.71859 910 0 1
2022.02.18 21:30:00 0.71859 0.71912 0.71815 0.71846 1643 0 1
2022.02.18 22:00:00 0.71846 0.71874 0.71796 0.71799 2156 0 3
2022.02.18 22:30:00 0.71799 0.71837 0.71761 0.71789 2176 0 2
2022.02.18 23:00:00 0.71789 0.71827 0.71783 0.71805 292 0 6
2022.02.18 23:30:00 0.71805 0.71833 0.71769 0.71775 395 0 9
2022.02.21 00:00:00 0.71685 0.71793 0.71685 0.71734 210 0 25
2022.02.21 00:30:00 0.71735 0.71754 0.71709 0.71718 380 0 13
2022.02.21 01:00:00 0.71718 0.71749 0.71663 0.71699 927 0 10
2022.02.21 01:30:00 0.71699 0.71725 0.71675 0.71713 514 0 9
2022.02.21 02:00:00 0.71713 0.71729 0.71672 0.71697 695 0 2
2022.02.21 02:30:00 0.71699 0.71922 0.71693 0.71879 1324 0 2
2022.02.21 03:00:00 0.71877 0.71956 0.71850 0.71891 2346 0 2
2022.02.21 03:30:00 0.71891 0.72025 0.71879 0.71971 2350 0 2
2022.02.21 04:00:00 0.71972 0.71989 0.71940 0.71969 1160 0 3
2022.02.21 04:30:00 0.71970 0.72052 0.71966 0.72049 1161 0 2
2022.02.21 05:00:00 0.72050 0.72100 0.72043 0.72077 1116 0 3
2022.02.21 05:30:00 0.72077 0.72086 0.72022 0.72065 936 0 3
2022.02.21 06:00:00 0.72065 0.72079 0.72044 0.72058 638 0 2
2022.02.21 06:30:00 0.72059 0.72142 0.72033 0.72131 1049 0 2
2022.02.21 07:00:00 0.72130 0.72212 0.72118 0.72166 1415 0 1
2022.02.21 07:30:00 0.72166 0.72170 0.72093 0.72125 784 0 1
2022.02.21 08:00:00 0.72125 0.72166 0.72115 0.72142 612 0 1
2022.02.21 08:30:00 0.72142 0.72215 0.72140 0.72181 591 0 1
2022.02.21 09:00:00 0.72180 0.72223 0.72162 0.72185 1101 0 1
2022.02.21 09:30:00 0.72185 0.72217 0.72142 0.72157 1151 0 1
2022.02.21 10:00:00 0.72157 0.72214 0.72143 0.72180 1663 0 1
2022.02.21 10:30:00 0.72179 0.72206 0.72054 0.72144 2397 0 1
2022.02.21 11:00:00 0.72144 0.72162 0.72080 0.72125 1815 0 1
2022.02.21 11:30:00 0.72128 0.72188 0.72127 0.72153 1085 0 1
2022.02.21 12:00:00 0.72153 0.72167 0.72073 0.72073 997 0 1
2022.02.21 12:30:00 0.72073 0.72096 0.72030 0.72054 965 0 1
2022.02.21 13:00:00 0.72054 0.72084 0.71969 0.71980 1459 0 2
2022.02.21 13:30:00 0.71980 0.71998 0.71923 0.71981 1535 0 1
2022.02.21 14:00:00 0.71980 0.72028 0.71927 0.72005 1432 0 1
2022.02.21 14:30:00 0.72006 0.72028 0.71920 0.72009 2167 0 1
2022.02.21 15:00:00 0.72009 0.72029 0.71930 0.71979 1891 0 2
2022.02.21 15:30:00 0.71979 0.72132 0.71956 0.72048 2749 0 1
2022.02.21 16:00:00 0.72048 0.72199 0.71987 0.72121 3493 0 1
2022.02.21 16:30:00 0.72121 0.72143 0.72045 0.72068 2078 0 1
2022.02.21 17:00:00 0.72065 0.72141 0.72036 0.72091 1879 0 1
2022.02.21 17:30:00 0.72091 0.72171 0.72071 0.72145 1957 0 1
2022.02.21 18:00:00 0.72144 0.72159 0.72085 0.72099 1801 0 1
2022.02.21 18:30:00 0.72101 0.72147 0.72092 0.72113 960 0 1
2022.02.21 19:00:00 0.72113 0.72163 0.72075 0.72118 880 0 2
2022.02.21 19:30:00 0.72116 0.72148 0.72065 0.72065 761 0 1
2022.02.21 20:00:00 0.72065 0.72096 0.71925 0.71958 590 0 1
2022.02.21 20:30:00 0.71957 0.72033 0.71957 0.71972 439 0 1
2022.02.21 21:00:00 0.71972 0.71972 0.71861 0.71874 582 0 2
2022.02.21 21:30:00 0.71873 0.71977 0.71873 0.71944 628 0 4
2022.02.21 22:00:00 0.71939 0.71942 0.71864 0.71886 238 0 5
2022.02.21 22:30:00 0.71886 0.71934 0.71874 0.71928 263 0 4
2022.02.21 23:00:00 0.71929 0.71964 0.71916 0.71925 356 0 7
2022.02.21 23:30:00 0.71925 0.71934 0.71876 0.71888 342 0 10
2022.02.22 00:00:00 0.71867 0.71885 0.71846 0.71879 282 0 22
2022.02.22 00:30:00 0.71879 0.71897 0.71823 0.71844 527 0 11
2022.02.22 01:00:00 0.71838 0.71865 0.71715 0.71786 1210 0 9
2022.02.22 01:30:00 0.71785 0.71848 0.71768 0.71834 889 0 9
2022.02.22 02:00:00 0.71834 0.71907 0.71805 0.71889 1506 0 2
2022.02.22 02:30:00 0.71889 0.72010 0.71889 0.71972 1159 0 2
2022.02.22 03:00:00 0.71971 0.72005 0.71880 0.71890 2014 0 2
2022.02.22 03:30:00 0.71891 0.71932 0.71834 0.71912 1765 0 2
2022.02.22 04:00:00 0.71910 0.72012 0.71873 0.71954 1412 0 2
2022.02.22 04:30:00 0.71954 0.72009 0.71942 0.71974 1091 0 2
2022.02.22 05:00:00 0.71974 0.71978 0.71894 0.71915 1086 0 2
2022.02.22 05:30:00 0.71916 0.71916 0.71831 0.71882 1158 0 2
2022.02.22 06:00:00 0.71882 0.71989 0.71882 0.71975 1064 0 2
2022.02.22 06:30:00 0.71974 0.72020 0.71907 0.72002 1405 0 2
2022.02.22 07:00:00 0.72002 0.72117 0.71991 0.72060 1408 0 1
2022.02.22 07:30:00 0.72060 0.72075 0.72018 0.72055 1098 0 1
2022.02.22 08:00:00 0.72053 0.72073 0.71996 0.72026 1197 0 1
2022.02.22 08:30:00 0.72026 0.72070 0.71975 0.71999 1497 0 1
2022.02.22 09:00:00 0.71999 0.72043 0.71917 0.71964 2233 0 1
2022.02.22 09:30:00 0.71964 0.72021 0.71936 0.71946 2251 0 1
2022.02.22 10:00:00 0.71945 0.72106 0.71918 0.72070 3840 0 1
2022.02.22 10:30:00 0.72071 0.72103 0.71976 0.72048 2661 0 1
2022.02.22 11:00:00 0.72048 0.72187 0.72039 0.72153 2159 0 1
2022.02.22 11:30:00 0.72153 0.72163 0.72061 0.72074 1753 0 1
