<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.04.20 03:30:00 1.36001 1.36123 1.35985 1.36094 2045 0 4
2022.04.20 04:00:00 1.36095 1.36218 1.36055 1.36134 2461 0 8
2022.04.20 04:30:00 1.36134 1.36134 1.36016 1.36112 1926 0 10
2022.04.20 05:00:00 1.36113 1.36199 1.36103 1.36180 2582 0 2
2022.04.20 05:30:00 1.36181 1.36210 1.36130 1.36132 1284 0 9
2022.04.20 06:00:00 1.36136 1.36189 1.36086 1.36183 1758 0 10
2022.04.20 06:30:00 1.36181 1.36207 1.36123 1.36171 1451 0 10
2022.04.20 07:00:00 1.36170 1.36190 1.36135 1.36165 1360 0 9
2022.04.20 07:30:00 1.36164 1.36205 1.36113 1.36154 967 0 10
2022.04.20 08:00:00 1.36154 1.36162 1.36103 1.36115 894 0 9
2022.04.20 08:30:00 1.36097 1.36158 1.36073 1.36124 1359 0 6
2022.04.20 09:00:00 1.36124 1.36166 1.36041 1.36054 2352 0 5
2022.04.20 09:30:00 1.36055 1.36102 1.35976 1.36025 2365 0 6
2022.04.20 10:00:00 1.36026 1.36096 1.35961 1.35973 4254 0 4
2022.04.20 10:30:00 1.35971 1.36038 1.35885 1.35962 2350 0 3
2022.04.20 11:00:00 1.35960 1.36057 1.35883 1.36023 1899 0 4
2022.04.20 11:30:00 1.36026 1.36227 1.36006 1.36188 2784 0 1
2022.04.20 12:00:00 1.36188 1.36206 1.35969 1.36058 2655 0 0
2022.04.20 12:30:00 1.36059 1.36359 1.35998 1.36156 4483 0 0
2022.04.20 13:00:00 1.36156 1.36259 1.36079 1.36189 3081 0 0
2022.04.20 13:30:00 1.36188 1.36267 1.36124 1.36203 2237 0 3
2022.04.20 14:00:00 1.36203 1.36217 1.36011 1.36042 2439 0 2
2022.04.20 14:30:00 1.36043 1.36115 1.35743 1.35743 2652 0 1
2022.04.20 15:00:00 1.35744 1.35814 1.35703 1.35787 2594 0 2
2022.04.20 15:30:00 1.35786 1.35787 1.35564 1.35627 3706 0 2
2022.04.20 16:00:00 1.35631 1.35719 1.35451 1.35548 4218 0 0
2022.04.20 16:30:00 1.35548 1.35697 1.35433 1.35692 4933 0 3
2022.04.20 17:00:00 1.35692 1.35888 1.35608 1.35623 4589 0 1
2022.04.20 17:30:00 1.35619 1.35703 1.35387 1.35689 4149 0 2
2022.04.20 18:00:00 1.35688 1.35759 1.35507 1.35507 2912 0 1
2022.04.20 18:30:00 1.35507 1.35668 1.35319 1.35627 3445 0 0
2022.04.20 19:00:00 1.35628 1.35725 1.35577 1.35695 2272 0 2
2022.04.20 19:30:00 1.35692 1.35733 1.35497 1.35527 1921 0 0
2022.04.20 20:00:00 1.35526 1.35552 1.35435 1.35506 2337 0 2
2022.04.20 20:30:00 1.35506 1.35560 1.35453 1.35550 1963 0 0
2022.04.20 21:00:00 1.35550 1.35591 1.35527 1.35579 1582 0 4
2022.04.20 21:30:00 1.35578 1.35633 1.35532 1.35575 2287 0 1
2022.04.20 22:00:00 1.35574 1.35632 1.35540 1.35610 2225 0 2
2022.04.20 22:30:00 1.35609 1.35680 1.35565 1.35628 2640 0 0
2022.04.20 23:00:00 1.35628 1.35653 1.35567 1.35595 1145 0 7
2022.04.20 23:30:00 1.35595 1.35653 1.35555 1.35630 1234 0 12
2022.04.21 00:00:00 1.35580 1.35643 1.35472 1.35565 478 0 33
2022.04.21 00:30:00 1.35566 1.35592 1.35511 1.35568 307 0 44
2022.04.21 01:00:00 1.35595 1.35622 1.35543 1.35582 778 0 24
2022.04.21 01:30:00 1.35582 1.35644 1.35500 1.35502 1030 0 18
2022.04.21 02:00:00 1.35502 1.35571 1.35487 1.35552 686 0 11
2022.04.21 02:30:00 1.35551 1.35560 1.35470 1.35489 594 0 7
2022.04.21 03:00:00 1.35488 1.35523 1.35432 1.35449 1826 0 3
2022.04.21 03:30:00 1.35450 1.35491 1.35333 1.35396 1832 0 5
2022.04.21 04:00:00 1.35396 1.35438 1.35335 1.35369 1954 0 3
2022.04.21 04:30:00 1.35368 1.35409 1.35235 1.35307 2184 0 4
2022.04.21 05:00:00 1.35306 1.35309 1.35225 1.35233 1016 0 7
2022.04.21 05:30:00 1.35232 1.35273 1.35226 1.35250 1021 0 2
2022.04.21 06:00:00 1.35251 1.35282 1.35230 1.35272 1141 0 6
2022.04.21 06:30:00 1.35272 1.35336 1.35250 1.35329 1517 0 5
2022.04.21 07:00:00 1.35328 1.35336 1.35278 1.35279 1383 0 3
2022.04.21 07:30:00 1.35278 1.35299 1.35190 1.35255 922 0 6
2022.04.21 08:00:00 1.35254 1.35362 1.35251 1.35314 2486 0 7
2022.04.21 08:30:00 1.35315 1.35407 1.35315 1.35386 2030 0 5
